# CVS $Revision: 1.2 $ $Author: tir-gwaith $ -- Wed Aug  6 19:18:34 2003 -- reformated by prettylst.pl v1.29 (build 294)
SOURCELONG:Relics and Rituals|SOURCESHORT:RelicRitual|SOURCEWEB:http://www.swordsorcery.com

# Equipment Name					Product Identity?	Output Name				Type				Cost		Weight	Source Page
Scroll (Tevikk's Creeping Eye)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Water's Embrace)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Yaral's Totemic Transformation)	NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Zombie Form)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Belsameth's Strife)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Call Aquatic Animal II)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Cloak of Righteousness)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Control Light)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Ghostdweomer)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Gluttony)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Hand of Justice)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Holy Beacon's Answer)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Holy Channel)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Ironheart)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Live Wood)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Mind Over Matter)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Purifying Flames)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Sacred Journey)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Seal of Hedrada)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Soul of Mercy)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Terole's Translator)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Touch of the Eel)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Unholy Channel)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Verminplague)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Call Aquatic Monster)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Curtain of Darkness)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Dark Water)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Dolomar's Limited Liquification)	NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Doomwail)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Greater Familiar)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Inquisition)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Live Wood)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Meld Object)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Multiplicity)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Nethergaze)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Pillar of Attraction/Repulsion)	NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Rie's Dance of Seduction)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Shadow Weapon)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Ship Snare)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Belsameth's Blessing)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Brothers in Arms)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Doomwail)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Gutroot)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Imbue Shadow)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Inquisition)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Ship Snare)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Water's Embrace)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Awaken Lesser Titan Avatar)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Call Aquatic Humanoid II)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Dark Water)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Death Blade)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Decleration of Death)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Enkili's Lightning Storm)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Mormo's Serpent Hands)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Pass the Years)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Power Word/Thunder)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Reverse Illusion)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Sacrificial Heart)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Shadow Smash)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Song of Champions)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Taldock's Spell Inhibitor)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Daggers of Vaul)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Freezing Curse)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Ilajam Fire)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Mormo's Serpent Hands)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Sever)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Shade Evocation)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Soulstrike)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Transmute Flesh to Shadow)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Daggers of Vaul)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Freezing Curse)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Greater Healing Circle)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Incite)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Sever)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Blackflame)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Darkstaff)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Greater Circle of Seeing)		NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Leech Field)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Rapid Journey)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Shadow Storm)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Shadow Twin)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Strength of Kadum)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Time Skip)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Widdershins)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Arcane	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Avatar)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Grove of Serenity)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Leech Field)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Recall Champion)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Strength of Kadum)			NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Convert)					NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Incapacitate)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
Scroll (Shatter Soul)				NAMEISPI:YES	OUTPUTNAME:Scroll of [NAME]	TYPE:Scroll.Divine	COST:0	WT:0		SOURCEPAGE:p.
